_id,resultId,examId,examCode,userOpenid,action,questionIndex,timestamp,description,questionType,previousValue,currentValue,answer,from,to
00000000000000000000000000000001,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,start_exam,-1,1782893550555,开始答题,,,,,,
00000000000000000000000000000002,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,enter_exam,-1,1782893550653,进入试卷页面,,,,,,
00000000000000000000000000000003,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,enter_question,1,1782893551673,进入第1题,sorting,,,,,
00000000000000000000000000000004,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,leave_question,1,1782893580577,离开第1题,,,,,,
00000000000000000000000000000005,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,enter_question,4,1782893582719,进入第2题,sorting,,,,,
00000000000000000000000000000006,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,4,1782893594374,"拖动B(2→4)，A,B,C,D → A,C,D,B",sorting,"""A,B,C,D""","""A,C,D,B""","""B""",2,4
00000000000000000000000000000007,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,4,1782893597818,"拖动C(2→1)，A,C,D,B → C,A,D,B",sorting,"""A,C,D,B""","""C,A,D,B""","""C""",2,1
00000000000000000000000000000008,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,4,1782893598976,"拖动D(3→2)，C,A,D,B → C,D,A,B",sorting,"""C,A,D,B""","""C,D,A,B""","""D""",3,2
00000000000000000000000000000009,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,leave_question,4,1782893608526,离开第2题,,,,,,
0000000000000000000000000000000a,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,enter_question,6,1782893611013,进入第3题,sorting,,,,,
0000000000000000000000000000000b,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,6,1782893637231,"拖动D(4→1)，A,B,C,D → D,A,B,C",sorting,"""A,B,C,D""","""D,A,B,C""","""D""",4,1
0000000000000000000000000000000c,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,6,1782893641990,"拖动C(4→3)，D,A,B,C → D,A,C,B",sorting,"""D,A,B,C""","""D,A,C,B""","""C""",4,3
0000000000000000000000000000000d,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,6,1782893645374,"拖动A(2→4)，D,A,C,B → D,C,B,A",sorting,"""D,A,C,B""","""D,C,B,A""","""A""",2,4
0000000000000000000000000000000e,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,6,1782893648413,"拖动B(3→2)，D,C,B,A → D,B,C,A",sorting,"""D,C,B,A""","""D,B,C,A""","""B""",3,2
0000000000000000000000000000000f,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,leave_question,6,1782893655565,离开第3题,,,,,,
00000000000000000000000000000010,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,enter_question,2,1782893658211,进入第4题,sorting,,,,,
00000000000000000000000000000011,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,2,1782893668434,"拖动C(3→2)，A,B,C,D → A,C,B,D",sorting,"""A,B,C,D""","""A,C,B,D""","""C""",3,2
00000000000000000000000000000012,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,2,1782893672335,"拖动C(2→1)，A,C,B,D → C,A,B,D",sorting,"""A,C,B,D""","""C,A,B,D""","""C""",2,1
00000000000000000000000000000013,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,2,1782893674435,"拖动A(2→1)，C,A,B,D → A,C,B,D",sorting,"""C,A,B,D""","""A,C,B,D""","""A""",2,1
00000000000000000000000000000014,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,2,1782893680784,"拖动B(3→4)，A,C,B,D → A,C,D,B",sorting,"""A,C,B,D""","""A,C,D,B""","""B""",3,4
00000000000000000000000000000015,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,leave_question,2,1782893690216,离开第4题,,,,,,
00000000000000000000000000000016,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,enter_question,5,1782893692126,进入第5题,sorting,,,,,
00000000000000000000000000000017,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,5,1782893702538,"拖动D(4→1)，A,B,C,D → D,A,B,C",sorting,"""A,B,C,D""","""D,A,B,C""","""D""",4,1
00000000000000000000000000000018,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,5,1782893704009,"拖动C(4→2)，D,A,B,C → D,C,A,B",sorting,"""D,A,B,C""","""D,C,A,B""","""C""",4,2
00000000000000000000000000000019,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,5,1782893707211,"拖动A(3→4)，D,C,A,B → D,C,B,A",sorting,"""D,C,A,B""","""D,C,B,A""","""A""",3,4
0000000000000000000000000000001a,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,leave_question,5,1782893713967,离开第5题,,,,,,
0000000000000000000000000000001b,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,enter_question,3,1782893717032,进入第6题,sorting,,,,,
0000000000000000000000000000001c,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,3,1782893742436,"拖动C(3→4)，A,B,C,D → A,B,D,C",sorting,"""A,B,C,D""","""A,B,D,C""","""C""",3,4
0000000000000000000000000000001d,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,3,1782893748286,"拖动B(2→3)，A,B,D,C → A,D,B,C",sorting,"""A,B,D,C""","""A,D,B,C""","""B""",2,3
0000000000000000000000000000001e,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,leave_question,3,1782893758510,离开第6题,,,,,,
0000000000000000000000000000001f,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,enter_question,9,1782893761883,进入第7题,sorting,,,,,
00000000000000000000000000000020,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,9,1782893768813,"拖动C(3→2)，A,B,C,D → A,C,B,D",sorting,"""A,B,C,D""","""A,C,B,D""","""C""",3,2
00000000000000000000000000000021,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,9,1782893774664,"拖动C(2→3)，A,C,B,D → A,B,C,D",sorting,"""A,C,B,D""","""A,B,C,D""","""C""",2,3
00000000000000000000000000000022,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,9,1782893778566,"拖动A(1→2)，A,B,C,D → B,A,C,D",sorting,"""A,B,C,D""","""B,A,C,D""","""A""",1,2
00000000000000000000000000000023,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,9,1782893782625,"拖动A(2→1)，B,A,C,D → A,B,C,D",sorting,"""B,A,C,D""","""A,B,C,D""","""A""",2,1
00000000000000000000000000000024,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,leave_question,9,1782893787968,离开第7题,,,,,,
00000000000000000000000000000025,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,enter_question,10,1782893791179,进入第8题,sorting,,,,,
00000000000000000000000000000026,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,10,1782893807567,"拖动B(2→3)，A,B,C,D → A,C,B,D",sorting,"""A,B,C,D""","""A,C,B,D""","""B""",2,3
00000000000000000000000000000027,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,10,1782893813395,"拖动D(4→2)，A,C,B,D → A,D,C,B",sorting,"""A,C,B,D""","""A,D,C,B""","""D""",4,2
00000000000000000000000000000028,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,10,1782893817803,"拖动A(1→3)，A,D,C,B → D,C,A,B",sorting,"""A,D,C,B""","""D,C,A,B""","""A""",1,3
00000000000000000000000000000029,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,10,1782893820218,"拖动B(4→1)，D,C,A,B → B,D,C,A",sorting,"""D,C,A,B""","""B,D,C,A""","""B""",4,1
0000000000000000000000000000002a,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,10,1782893824467,"拖动A(4→3)，B,D,C,A → B,D,A,C",sorting,"""B,D,C,A""","""B,D,A,C""","""A""",4,3
0000000000000000000000000000002b,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,leave_question,10,1782893831865,离开第8题,,,,,,
0000000000000000000000000000002c,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,enter_question,7,1782893834699,进入第9题,sorting,,,,,
0000000000000000000000000000002d,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,7,1782893841091,"拖动B(2→4)，A,B,C,D → A,C,D,B",sorting,"""A,B,C,D""","""A,C,D,B""","""B""",2,4
0000000000000000000000000000002e,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,7,1782893842448,"拖动D(3→2)，A,C,D,B → A,D,C,B",sorting,"""A,C,D,B""","""A,D,C,B""","""D""",3,2
0000000000000000000000000000002f,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,leave_question,7,1782893849030,离开第9题,,,,,,
00000000000000000000000000000030,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,enter_question,8,1782893851191,进入第10题,sorting,,,,,
00000000000000000000000000000031,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,8,1782893865248,"拖动C(3→4)，A,B,C,D → A,B,D,C",sorting,"""A,B,C,D""","""A,B,D,C""","""C""",3,4
00000000000000000000000000000032,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,change_sorting_option,8,1782893870009,"拖动D(3→1)，A,B,D,C → D,A,B,C",sorting,"""A,B,D,C""","""D,A,B,C""","""D""",3,1
00000000000000000000000000000033,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,leave_question,8,1782893874139,离开第10题,,,,,,
00000000000000000000000000000034,00000000000000000000000000000001,00000000000000000000000000000001,QT-SIM-001-4661,sim_openid_001_867882,submit_exam,-1,1782893874269,提交试卷,,,,,,
00000000000000000000000000000035,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,start_exam,-1,1782894450087,开始答题,,,,,,
00000000000000000000000000000036,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,enter_exam,-1,1782894450139,进入试卷页面,,,,,,
00000000000000000000000000000037,00000000000000000000000000000002,00000000000000000000000000000002,QT-SIM-002-4486,sim_openid_002_963914,enter_question,1,1782894453583,进入第1题,sorting,,,,,
