_id,answerType,answerTypeLabel,answers,createTime,duration,examCode,examId,examTitle,isQuickTest,isShuffled,kindergartenName,participantName,quickCodeId,quickCodeToken,shuffleMapping,startTime,status,submitTime,totalQuestions,userId,userOpenid,userStartTime,userSubmitTime,答题类型
00000000000000000000000000000001,quick,快速答题,"{""0"": [0, 2, 3, 1], ""1"": [0, 2, 3, 1], ""2"": [0, 3, 1, 2], ""3"": [2, 3, 0, 1], ""4"": [3, 2, 1, 0], ""5"": [3, 1, 2, 0], ""6"": [0, 3, 2, 1], ""7"": [3, 0, 1, 2], ""8"": [0, 1, 2, 3], ""9"": [1, 3, 0, 2]}",2026/7/7 下午4:01:55,323584,QT-SIM-001-4661,00000000000000000000000000000001,游戏的支持与引导情境判断测验 十题,True,False,模拟幼儿园1,教师01,00000000000000000000000000000001,QT-SIM,,2026/7/7 下午4:01:55,completed,2026/7/7 下午4:07:55,10,,sim_openid_001_867882,,2026/7/7 下午4:07:55,快速答题
00000000000000000000000000000002,quick,快速答题,"{""0"": [0, 2, 1, 3], ""1"": [3, 1, 2, 0], ""2"": [0, 3, 2, 1], ""3"": [0, 2, 3, 1], ""4"": [1, 0, 2, 3], ""5"": [3, 1, 2, 0], ""6"": [2, 3, 0, 1], ""7"": [3, 0, 1, 2], ""8"": [0, 1, 3, 2], ""9"": [2, 3, 1, 0]}",2026/7/7 下午4:01:55,393984,QT-SIM-002-4486,00000000000000000000000000000002,游戏的支持与引导情境判断测验 十题,True,False,模拟幼儿园1,教师02,00000000000000000000000000000002,QT-SIM,,2026/7/7 下午4:01:55,completed,2026/7/7 下午4:07:55,10,,sim_openid_002_963914,,2026/7/7 下午4:07:55,快速答题
00000000000000000000000000000003,quick,快速答题,"{""0"": [0, 1, 3, 2], ""1"": [2, 0, 3, 1], ""2"": [1, 0, 2, 3], ""3"": [3, 1, 2, 0], ""4"": [2, 0, 1, 3], ""5"": [3, 2, 0, 1], ""6"": [2, 3, 0, 1], ""7"": [3, 0, 2, 1], ""8"": [3, 1, 2, 0], ""9"": [1, 3, 2, 0]}",2026/7/7 下午4:01:55,360768,QT-SIM-003-4737,00000000000000000000000000000003,游戏的支持与引导情境判断测验 十题,True,False,模拟幼儿园1,教师03,00000000000000000000000000000003,QT-SIM,,2026/7/7 下午4:01:55,completed,2026/7/7 下午4:07:55,10,,sim_openid_003_147733,,2026/7/7 下午4:07:55,快速答题
00000000000000000000000000000004,quick,快速答题,"{""0"": [2, 1, 0, 3], ""1"": [0, 1, 3, 2], ""2"": [3, 2, 1, 0], ""3"": [0, 1, 3, 2], ""4"": [0, 1, 3, 2], ""5"": [3, 0, 1, 2], ""6"": [0, 3, 2, 1], ""7"": [3, 0, 2, 1], ""8"": [3, 2, 1, 0], ""9"": [3, 1, 0, 2]}",2026/7/7 下午4:01:55,389366,QT-SIM-004-4451,00000000000000000000000000000004,游戏的支持与引导情境判断测验 十题,True,False,模拟幼儿园1,教师04,00000000000000000000000000000004,QT-SIM,,2026/7/7 下午4:01:55,completed,2026/7/7 下午4:07:55,10,,sim_openid_004_774211,,2026/7/7 下午4:07:55,快速答题
00000000000000000000000000000005,quick,快速答题,"{""0"": [2, 3, 1, 0], ""1"": [0, 2, 3, 1], ""2"": [0, 2, 3, 1], ""3"": [3, 0, 2, 1], ""4"": [1, 3, 2, 0], ""5"": [0, 3, 2, 1], ""6"": [3, 0, 2, 1], ""7"": [2, 0, 1, 3], ""8"": [0, 2, 1, 3], ""9"": [3, 1, 0, 2]}",2026/7/7 下午4:01:55,407882,QT-SIM-005-9919,00000000000000000000000000000005,游戏的支持与引导情境判断测验 十题,True,False,模拟幼儿园1,教师05,00000000000000000000000000000005,QT-SIM,,2026/7/7 下午4:01:55,completed,2026/7/7 下午4:07:55,10,,sim_openid_005_597917,,2026/7/7 下午4:07:55,快速答题
00000000000000000000000000000006,quick,快速答题,"{""0"": [1, 3, 2, 0], ""1"": [3, 1, 0, 2], ""2"": [0, 2, 3, 1], ""3"": [1, 0, 3, 2], ""4"": [3, 0, 2, 1], ""5"": [1, 2, 0, 3], ""6"": [1, 3, 0, 2], ""7"": [1, 3, 0, 2], ""8"": [0, 3, 2, 1], ""9"": [2, 1, 0, 3]}",2026/7/7 下午4:01:55,219549,QT-SIM-006-7693,00000000000000000000000000000006,游戏的支持与引导情境判断测验 十题,True,False,模拟幼儿园2,教师06,00000000000000000000000000000006,QT-SIM,,2026/7/7 下午4:01:55,completed,2026/7/7 下午4:07:55,10,,sim_openid_006_270790,,2026/7/7 下午4:07:55,快速答题
00000000000000000000000000000007,quick,快速答题,"{""0"": [2, 0, 1, 3], ""1"": [2, 1, 3, 0], ""2"": [2, 3, 0, 1], ""3"": [1, 3, 0, 2], ""4"": [3, 1, 0, 2], ""5"": [3, 1, 0, 2], ""6"": [2, 3, 0, 1], ""7"": [2, 0, 3, 1], ""8"": [3, 2, 1, 0], ""9"": [1, 3, 0, 2]}",2026/7/7 下午4:01:55,382666,QT-SIM-007-2886,00000000000000000000000000000007,游戏的支持与引导情境判断测验 十题,True,False,模拟幼儿园2,教师07,00000000000000000000000000000007,QT-SIM,,2026/7/7 下午4:01:55,completed,2026/7/7 下午4:07:55,10,,sim_openid_007_148978,,2026/7/7 下午4:07:55,快速答题
00000000000000000000000000000008,quick,快速答题,"{""0"": [2, 0, 1, 3], ""1"": [0, 2, 1, 3], ""2"": [1, 2, 0, 3], ""3"": [3, 2, 0, 1], ""4"": [1, 0, 3, 2], ""5"": [1, 2, 3, 0], ""6"": [3, 1, 0, 2], ""7"": [3, 0, 1, 2], ""8"": [3, 0, 2, 1], ""9"": [1, 0, 3, 2]}",2026/7/7 下午4:01:55,353185,QT-SIM-008-3593,00000000000000000000000000000008,游戏的支持与引导情境判断测验 十题,True,False,模拟幼儿园2,教师08,00000000000000000000000000000008,QT-SIM,,2026/7/7 下午4:01:55,completed,2026/7/7 下午4:07:55,10,,sim_openid_008_921296,,2026/7/7 下午4:07:55,快速答题
00000000000000000000000000000009,quick,快速答题,"{""0"": [3, 1, 2, 0], ""1"": [3, 0, 2, 1], ""2"": [3, 0, 2, 1], ""3"": [0, 1, 2, 3], ""4"": [3, 1, 2, 0], ""5"": [2, 0, 3, 1], ""6"": [0, 3, 2, 1], ""7"": [1, 2, 3, 0], ""8"": [0, 1, 3, 2], ""9"": [2, 0, 3, 1]}",2026/7/7 下午4:01:55,508723,QT-SIM-009-6386,00000000000000000000000000000009,游戏的支持与引导情境判断测验 十题,True,False,模拟幼儿园2,教师09,00000000000000000000000000000009,QT-SIM,,2026/7/7 下午4:01:55,completed,2026/7/7 下午4:07:55,10,,sim_openid_009_149687,,2026/7/7 下午4:07:55,快速答题
0000000000000000000000000000000a,quick,快速答题,"{""0"": [2, 1, 0, 3], ""1"": [1, 2, 0, 3], ""2"": [2, 1, 0, 3], ""3"": [1, 2, 3, 0], ""4"": [1, 0, 2, 3], ""5"": [2, 1, 3, 0], ""6"": [2, 3, 0, 1], ""7"": [3, 0, 1, 2], ""8"": [0, 3, 1, 2], ""9"": [1, 3, 2, 0]}",2026/7/7 下午4:01:55,538888,QT-SIM-010-4775,0000000000000000000000000000000a,游戏的支持与引导情境判断测验 十题,True,False,模拟幼儿园2,教师10,0000000000000000000000000000000a,QT-SIM,,2026/7/7 下午4:01:55,completed,2026/7/7 下午4:07:55,10,,sim_openid_010_681499,,2026/7/7 下午4:07:55,快速答题
